sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,fa_0,fa_1,fa_2,fa_3,fa_4,fa_5,fa_6,fa_7,mi_0,mi_1,mi_2,mi_3,mi_4,vt_0,vt_1,vt_2,vt_3,vt_4,vt_5,vt_6,vt_7,vt_8,vt_9,vt_10,vt_11,vt_12,vt_13,vt_14,vt_15,vt_16,vt_17,qt_0,qt_1,kbins_0,kbins_1
1.0,38,0.0,1,1,0,9,0.0,0.2595089809633084,1.1124989623923245,-0.5389660867223327,0.5349573695189032,0.2636574212050771,0.0,0.0,0.0,0.2595089809633084,1.1124989623923245,-0.5389660867223327,0.5349573695189032,0.2636574212050771,1.0,38.0,0.0,1.0,1.0,0.0,9.0,0.0,0.2595089809633084,1.1124989623923245,-0.5389660867223327,0.5349573695189032,0.2636574212050771,0.2595089809633084,1.1124989623923245,-0.5389660867223327,0.5349573695189032,0.2636574212050771,0.6786786786786787,0.8863863863863863,1.0,1.0
1.0,51,2.0,0,0,0,4,1.0,1.3643017886869804,-0.09572049400311847,0.27547027877452346,0.07086212367489325,-0.07761824475874238,0.0,0.0,0.0,1.3643017886869804,-0.09572049400311847,0.27547027877452346,0.07086212367489325,-0.07761824475874238,1.0,51.0,2.0,0.0,0.0,0.0,4.0,1.0,1.3643017886869804,-0.09572049400311847,0.27547027877452346,0.07086212367489325,-0.07761824475874238,1.3643017886869804,-0.09572049400311847,0.27547027877452346,0.07086212367489325,-0.07761824475874238,0.8748748748748749,0.7112112112112112,2.0,0.0
0.0,38,3.0,0,0,0,0,0.0,0.2740462232779168,-0.7527523347454188,0.7259439013141985,-0.15438746230287034,-0.14495726552441454,0.0,0.0,0.0,0.2740462232779168,-0.7527523347454188,0.7259439013141985,-0.15438746230287034,-0.14495726552441454,0.0,38.0,3.0,0.0,0.0,0.0,0.0,0.0,0.2740462232779168,-0.7527523347454188,0.7259439013141985,-0.15438746230287034,-0.14495726552441454,0.2740462232779168,-0.7527523347454188,0.7259439013141985,-0.15438746230287034,-0.14495726552441454,0.6786786786786787,0.0,1.0,0.0
1.0,42,2.0,0,0,0,0,1.0,0.6112620696162306,-0.7969619908918758,0.23152213638262203,0.09888358238008667,-0.056369074101855564,0.0,0.0,0.0,0.6112620696162306,-0.7969619908918758,0.23152213638262203,0.09888358238008667,-0.056369074101855564,1.0,42.0,2.0,0.0,0.0,0.0,0.0,1.0,0.6112620696162306,-0.7969619908918758,0.23152213638262203,0.09888358238008667,-0.056369074101855564,0.6112620696162306,-0.7969619908918758,0.23152213638262203,0.09888358238008667,-0.056369074101855564,0.7447447447447448,0.0,1.0,0.0
1.0,33,0.0,0,0,0,1,0.0,-0.14987813204985823,-0.47042033335068983,-0.6773051201219745,-0.07657735626952335,0.150652968711743,0.0,0.0,0.0,-0.14987813204985823,-0.47042033335068983,-0.6773051201219745,-0.07657735626952335,0.150652968711743,1.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.14987813204985823,-0.47042033335068983,-0.6773051201219745,-0.07657735626952335,0.150652968711743,-0.14987813204985823,-0.47042033335068983,-0.6773051201219745,-0.07657735626952335,0.150652968711743,0.5505505505505506,0.39239239239239243,0.0,0.0
1.0,31,0.0,0,0,0,1,1.0,-0.31629612299848325,-0.4641827591178475,-0.6214428189513561,-0.03048893994651495,-0.0941502530520341,0.0,0.0,0.0,-0.31629612299848325,-0.4641827591178475,-0.6214428189513561,-0.03048893994651495,-0.0941502530520341,1.0,31.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.31629612299848325,-0.4641827591178475,-0.6214428189513561,-0.03048893994651495,-0.0941502530520341,-0.31629612299848325,-0.4641827591178475,-0.6214428189513561,-0.03048893994651495,-0.0941502530520341,0.484984984984985,0.39239239239239243,0.0,0.0
1.0,23,0.0,0,0,0,2,1.0,-0.9900552161181804,-0.17575776895836906,-0.5108725775229433,-0.1210805948026903,-0.11823394637403424,0.0,0.0,0.0,-0.9900552161181804,-0.17575776895836906,-0.5108725775229433,-0.1210805948026903,-0.11823394637403424,1.0,23.0,0.0,0.0,0.0,0.0,2.0,1.0,-0.9900552161181804,-0.17575776895836906,-0.5108725775229433,-0.1210805948026903,-0.11823394637403424,-0.9900552161181804,-0.17575776895836906,-0.5108725775229433,-0.1210805948026903,-0.11823394637403424,0.13613613613613612,0.546046046046046,0.0,0.0
1.0,20,3.0,0,0,0,0,1.0,-1.2381746770122155,-0.5598031629648781,0.9416024505701855,-0.07336284429710113,-0.09255720108852666,0.0,0.0,0.0,-1.2381746770122155,-0.5598031629648781,0.9416024505701855,-0.07336284429710113,-0.09255720108852666,1.0,20.0,3.0,0.0,0.0,0.0,0.0,1.0,-1.2381746770122155,-0.5598031629648781,0.9416024505701855,-0.07336284429710113,-0.09255720108852666,-1.2381746770122155,-0.5598031629648781,0.9416024505701855,-0.07336284429710113,-0.09255720108852666,0.017017017017017015,0.0,0.0,0.0
0.0,36,2.0,0,0,0,3,0.0,0.10220569054727185,-0.12463619219398109,0.34757431141187256,-0.2539160001942085,-0.1810202185037439,0.0,0.0,0.0,0.10220569054727185,-0.12463619219398109,0.34757431141187256,-0.2539160001942085,-0.1810202185037439,0.0,36.0,2.0,0.0,0.0,0.0,3.0,0.0,0.10220569054727185,-0.12463619219398109,0.34757431141187256,-0.2539160001942085,-0.1810202185037439,0.10220569054727185,-0.12463619219398109,0.34757431141187256,-0.2539160001942085,-0.1810202185037439,0.6316316316316316,0.6436436436436437,1.0,0.0
1.0,23,0.0,0,0,0,1,1.0,-0.9890914579349784,-0.3758981808253292,-0.5437193412300392,-0.09572702008690674,-0.10880110234590995,0.0,0.0,0.0,-0.9890914579349784,-0.3758981808253292,-0.5437193412300392,-0.09572702008690674,-0.10880110234590995,1.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.9890914579349784,-0.3758981808253292,-0.5437193412300392,-0.09572702008690674,-0.10880110234590995,-0.9890914579349784,-0.3758981808253292,-0.5437193412300392,-0.09572702008690674,-0.10880110234590995,0.13613613613613612,0.39239239239239243,0.0,0.0
